"utm_x","utm_y","var1.pred","var1.var"
320893.810273,5637991.255845,NaN,NaN
320894.810273,5637991.255845,NaN,NaN
320895.810273,5637991.255845,NaN,NaN
320896.810273,5637991.255845,NaN,NaN
320897.810273,5637991.255845,NaN,NaN
320898.810273,5637991.255845,NaN,NaN
320899.810273,5637991.255845,NaN,NaN
320900.810273,5637991.255845,NaN,NaN
320901.810273,5637991.255845,NaN,NaN
320902.810273,5637991.255845,NaN,NaN
320903.810273,5637991.255845,NaN,NaN
320904.810273,5637991.255845,NaN,NaN
320905.810273,5637991.255845,NaN,NaN
320906.810273,5637991.255845,NaN,NaN
320907.810273,5637991.255845,NaN,NaN
320908.810273,5637991.255845,NaN,NaN
320909.810273,5637991.255845,NaN,NaN
320910.810273,5637991.255845,NaN,NaN
320911.810273,5637991.255845,NaN,NaN
320912.810273,5637991.255845,NaN,NaN
320913.810273,5637991.255845,NaN,NaN
320914.810273,5637991.255845,NaN,NaN
320915.810273,5637991.255845,NaN,NaN
320916.810273,5637991.255845,NaN,NaN
320917.810273,5637991.255845,NaN,NaN
320918.810273,5637991.255845,NaN,NaN
320919.810273,5637991.255845,NaN,NaN
320920.810273,5637991.255845,NaN,NaN
320921.810273,5637991.255845,NaN,NaN
320922.810273,5637991.255845,NaN,NaN
320923.810273,5637991.255845,NaN,NaN
320924.810273,5637991.255845,NaN,NaN
320925.810273,5637991.255845,NaN,NaN
320926.810273,5637991.255845,NaN,NaN
320927.810273,5637991.255845,NaN,NaN
320928.810273,5637991.255845,NaN,NaN
320929.810273,5637991.255845,NaN,NaN
320930.810273,5637991.255845,NaN,NaN
320931.810273,5637991.255845,NaN,NaN
320932.810273,5637991.255845,NaN,NaN
320933.810273,5637991.255845,NaN,NaN
320934.810273,5637991.255845,NaN,NaN
320935.810273,5637991.255845,NaN,NaN
320936.810273,5637991.255845,NaN,NaN
320937.810273,5637991.255845,NaN,NaN
320938.810273,5637991.255845,NaN,NaN
320939.810273,5637991.255845,NaN,NaN
320940.810273,5637991.255845,NaN,NaN
320941.810273,5637991.255845,NaN,NaN
320942.810273,5637991.255845,NaN,NaN
320943.810273,5637991.255845,NaN,NaN
320944.810273,5637991.255845,NaN,NaN
320945.810273,5637991.255845,NaN,NaN
320946.810273,5637991.255845,NaN,NaN
320947.810273,5637991.255845,NaN,NaN
320948.810273,5637991.255845,NaN,NaN
320949.810273,5637991.255845,NaN,NaN
320950.810273,5637991.255845,NaN,NaN
320951.810273,5637991.255845,NaN,NaN
320952.810273,5637991.255845,NaN,NaN
320953.810273,5637991.255845,NaN,NaN
320954.810273,5637991.255845,NaN,NaN
320955.810273,5637991.255845,NaN,NaN
320956.810273,5637991.255845,NaN,NaN
320957.810273,5637991.255845,NaN,NaN
320958.810273,5637991.255845,NaN,NaN
320959.810273,5637991.255845,NaN,NaN
320960.810273,5637991.255845,NaN,NaN
320961.810273,5637991.255845,NaN,NaN
320962.810273,5637991.255845,NaN,NaN
320963.810273,5637991.255845,NaN,NaN
320964.810273,5637991.255845,NaN,NaN
320965.810273,5637991.255845,NaN,NaN
320966.810273,5637991.255845,NaN,NaN
320967.810273,5637991.255845,NaN,NaN
320968.810273,5637991.255845,NaN,NaN
320969.810273,5637991.255845,NaN,NaN
320970.810273,5637991.255845,NaN,NaN
320971.810273,5637991.255845,NaN,NaN
320972.810273,5637991.255845,NaN,NaN
320973.810273,5637991.255845,NaN,NaN
320974.810273,5637991.255845,NaN,NaN
320975.810273,5637991.255845,NaN,NaN
320976.810273,5637991.255845,NaN,NaN
320977.810273,5637991.255845,NaN,NaN
320978.810273,5637991.255845,NaN,NaN
320979.810273,5637991.255845,NaN,NaN
320980.810273,5637991.255845,NaN,NaN
320981.810273,5637991.255845,NaN,NaN
320982.810273,5637991.255845,NaN,NaN
320983.810273,5637991.255845,NaN,NaN
320984.810273,5637991.255845,NaN,NaN
320985.810273,5637991.255845,NaN,NaN
