"utm_x","utm_y"
321107.660472,5638054.014865
321107.461654,5638053.422138
321107.408753,5638053.292093
321107.353002,5638053.204582
321105.322242,5638050.258746
321105.312311,5638050.245364
321105.301801,5638050.232729
321105.29024,5638050.220094
321105.277763,5638050.207468
321103.17442,5638048.116885
321103.110892,5638048.058909
321103.039636,5638048.002558
321102.964009,5638047.948611
321102.887366,5638047.897849
321102.675267,5638047.76187
321102.606522,5638047.721006
321102.533858,5638047.685989
320961.742896,5637996.035767
320959.198346,5637995.103122
320957.557766,5637994.510356
320950.602159,5637992.010095
320950.447652,5637991.955403
320950.293689,5637991.902952
320950.140291,5637991.853394
320948.343799,5637991.295807
320948.224548,5637991.26697
320948.100376,5637991.255845
320947.971332,5637991.265836
320946.65015,5637991.417147
320946.525308,5637991.443558
320946.408538,5637991.48777
320946.298669,5637991.542953
320946.094954,5637991.658907
320945.998858,5637991.713725
320945.906453,5637991.771483
320945.818494,5637991.831161
320945.735737,5637991.891744
320945.658936,5637991.952215
320945.586374,5637992.013206
320945.51681,5637992.07541
320945.451715,5637992.137898
320945.392561,5637992.199741
320945.34082,5637992.26001
320945.29693,5637992.319014
320944.985449,5637992.739858
320944.948285,5637992.792993
320944.914888,5637992.851607
320944.883865,5637992.91451
320944.689515,5637993.315241
320944.660538,5637993.383803
320940.470433,5638007.45324
320940.418996,5638007.631507
320940.370733,5638007.81082
320894.973963,5638178.457613
320894.964154,5638178.513607
320894.847085,5638179.204063
320893.810273,5638186.586353
320893.848006,5638186.65926
320893.859505,5638186.675802
320894.081749,5638186.883371
320894.11492,5638186.909782
320894.304609,5638187.050246
320894.306052,5638187.051206
320894.403369,5638187.103906
320894.450273,5638187.102288
321074.288263,5638162.233346
321074.463469,5638162.208069
321074.642185,5638162.179456
321074.829145,5638162.148035
321075.028827,5638162.108794
321077.187236,5638161.64677
321077.383578,5638161.603788
321077.577342,5638161.558084
321077.765558,5638161.508879
321080.449345,5638160.692908
321080.618668,5638160.636085
321080.780618,5638160.576953
321081.8513,5638160.176108
321082.04046,5638160.100062
321082.210616,5638160.020027
321082.361332,5638159.933
321082.501138,5638159.838876
321083.246746,5638159.298522
321083.363624,5638159.213336
321083.482829,5638159.12282
321083.604425,5638159.027276
321083.726894,5638158.928295
321083.850162,5638158.824874
321083.974154,5638158.71601
321084.098794,5638158.600703
321084.224751,5638158.474658
321084.352085,5638158.337618
321085.696788,5638156.866831
321089.067555,5638143.517553
321089.113664,5638143.330906
321089.159151,5638143.142446
321089.203741,5638142.953558
321089.247157,5638142.765624
321089.289077,5638142.578053
321089.613751,5638141.115892
321089.653645,5638140.933544
321090.046492,5638139.046278
321107.660472,5638054.014865
