"utm_x","utm_y"
320587.804462,5639771.665666
320601.835633,5639754.723209
320601.931136,5639754.46694
320602.438098,5639752.835398
320602.807681,5639744.51134
320602.644039,5639744.216329
320600.791925,5639741.538473
320598.84931,5639739.323711
320593.367664,5639734.207278
320591.665809,5639732.626113
320591.331709,5639732.348232
320588.403571,5639730.482915
320418.713327,5639645.500832
320416.444238,5639645.25623
320416.180795,5639645.235947
320415.972528,5639645.244188
320415.779266,5639645.26544
320415.560781,5639645.294498
320415.26738,5639645.35128
320414.978498,5639645.425952
320414.7735,5639645.484895
320414.596655,5639645.544852
320414.398779,5639645.631526
320412.609158,5639646.825105
320412.397746,5639646.978399
320411.737542,5639647.474793
320411.465104,5639647.680969
320411.29909,5639647.844816
320410.569148,5639648.583907
320409.709001,5639649.504158
320409.564137,5639649.663476
320205.437397,5639883.447646
320191.985493,5639898.989073
320189.44727,5639901.922781
320157.686701,5639938.947882
320157.467199,5639939.207152
320156.199114,5639940.883667
320154.081283,5639943.854485
320154.061659,5639943.888947
320154.06225,5639943.924709
320154.063585,5639943.944537
320159.292665,5639953.280593
320236.769774,5639992.48759
320337.285901,5640043.309543
320346.728906,5640043.186792
320346.86621,5640043.177076
320346.997863,5640043.158932
320347.101099,5640043.140291
320347.709038,5640043.023006
320347.888663,5640042.98287
320348.064061,5640042.936509
320348.26719,5640042.873825
320349.694848,5640042.416271
320353.123496,5640039.755982
320356.23809,5640037.02819
320356.426595,5640036.858863
320359.489461,5640033.977899
320359.676398,5640033.778071
320531.395869,5639836.622822
320531.597872,5639836.390468
320587.804462,5639771.665666
