"utm_x","utm_y"
320585.664162,5639774.490131
320585.868714,5639774.252598
320588.428534,5639771.277862
320598.48695,5639759.179639
320598.682145,5639758.938931
320598.932357,5639758.610695
320599.446569,5639757.924788
320599.669524,5639757.624723
320599.849473,5639757.373868
320600.008278,5639757.147491
320600.161613,5639756.921295
320600.306208,5639756.69919
320600.445852,5639756.477265
320600.821036,5639755.880705
320601.051373,5639755.499149
320601.269143,5639755.099015
320601.458845,5639754.724436
320601.593721,5639754.445466
320601.706734,5639754.201144
320601.829869,5639753.91388
320601.990865,5639753.49618
320602.141002,5639753.068289
320602.592947,5639751.734655
320602.737261,5639751.303798
320602.780077,5639750.999572
320602.807854,5639750.736159
320602.824388,5639750.428844
320602.83551,5639749.980669
320602.840542,5639749.537791
320602.81881,5639749.243841
320602.600426,5639747.004467
320602.565356,5639746.744347
320602.494771,5639746.488894
320602.408139,5639746.194825
320602.285001,5639745.78986
320602.145518,5639745.387613
320602.040006,5639745.111138
320601.941216,5639744.874854
320601.813203,5639744.601362
320601.588026,5639744.21241
320601.018042,5639743.27818
320600.830789,5639743.002737
320600.544988,5639742.671088
320598.43029,5639740.385064
320598.184585,5639740.125865
320597.836473,5639739.8215
320596.733719,5639738.895917
320596.4793,5639738.685011
320596.260036,5639738.505599
320596.033332,5639738.326458
320595.794202,5639738.145614
320595.546884,5639737.96504
320594.88002,5639737.479495
320594.492528,5639737.21093
320592.220651,5639735.656868
320591.846167,5639735.408378
320590.987658,5639734.883766
320590.601631,5639734.655356
320588.773637,5639733.612229
320588.386887,5639733.396153
320583.713052,5639730.846689
320583.458652,5639730.709466
320579.646209,5639728.726299
320574.806425,5639726.222083
320573.193163,5639725.387345
320567.946081,5639722.689738
320494.513947,5639685.111392
320416.783034,5639646.699275
320416.650496,5639646.641855
320416.521291,5639646.597017
320416.436148,5639646.569719
320416.365122,5639646.548821
320416.284276,5639646.531008
320416.172831,5639646.514914
320415.899179,5639646.477906
320415.812809,5639646.473109
320415.697304,5639646.475783
320415.578358,5639646.481219
320415.482767,5639646.487954
320415.3947,5639646.497288
320415.297657,5639646.509481
320415.169467,5639646.530256
320415.052765,5639646.555056
320414.987339,5639646.574064
320414.726798,5639646.663957
320414.565545,5639646.720326
320414.449769,5639646.765597
320414.026283,5639646.93915
320413.824915,5639647.024226
320413.680574,5639647.092522
320413.552669,5639647.158091
320413.398231,5639647.243058
320413.159123,5639647.392553
320412.916139,5639647.556566
320412.756398,5639647.66943
320411.942796,5639648.258109
320411.764164,5639648.389824
320411.610336,5639648.505081
320411.428101,5639648.646954
320411.156376,5639648.874383
320410.523725,5639649.411772
320410.333502,5639649.575315
320410.061831,5639649.816613
320409.798567,5639650.057621
320409.625751,5639650.219849
320409.482192,5639650.357548
320409.321603,5639650.519368
320409.100777,5639650.760039
320408.892171,5639650.998024
320205.398682,5639884.024101
320202.080758,5639887.849431
320187.96398,5639904.163304
320159.391545,5639937.841839
320159.133254,5639938.148769
320158.723607,5639938.649986
320158.590429,5639938.813946
320153.661163,5639944.891179
320152.92863,5639945.887176
320152.900191,5639945.932811
320152.878222,5639945.978887
320152.867593,5639946.008149
320152.867617,5639946.017907
320152.867784,5639946.024352
320152.868235,5639946.026679
320161.030856,5639954.333499
320221.174655,5639984.00865
320336.919669,5640040.017997
320337.199676,5640040.140128
320337.390529,5640040.217645
320337.553533,5640040.279785
320337.746569,5640040.343824
320338.03288,5640040.427529
320345.424183,5640042.088005
320345.64784,5640042.129637
320345.824307,5640042.148106
320345.991283,5640042.161191
320346.200683,5640042.166159
320346.544112,5640042.108862
320346.911216,5640042.011704
320347.17047,5640041.934884
320347.397878,5640041.856028
320347.653708,5640041.763383
320347.998688,5640041.633957
320348.33695,5640041.49856
320348.575805,5640041.397537
320348.781742,5640041.306363
320349.01891,5640041.196677
320349.35699,5640041.031571
320349.687866,5640040.858141
320349.906603,5640040.731173
320350.975684,5640040.090042
320351.200701,5640039.944716
320351.392027,5640039.815619
320351.61799,5640039.659668
320351.955217,5640039.420522
320352.293538,5640039.172487
320352.52435,5640038.996723
320353.256164,5640038.425938
320353.56194,5640038.182437
320355.923561,5640036.22695
320357.161467,5640035.033884
320357.360293,5640034.817741
320359.851195,5640032.046682
320364.274778,5640027.111602
320364.468595,5640026.89431
320370.528087,5640020.100732
320445.382946,5639935.39973
320531.737092,5639836.648129
320585.664162,5639774.490131
