"utm_x","utm_y"
320873.852774,5638249.905704
320874.36429,5638247.717494
320874.735344,5638246.0707
320874.909182,5638245.240585
320874.982422,5638244.876292
320875.025939,5638244.628481
320875.060407,5638244.417007
320875.098847,5638244.167306
320875.152673,5638243.794412
320875.202268,5638243.421664
320875.234703,5638243.169205
320875.260991,5638242.955048
320875.283515,5638242.713891
320875.908159,5638235.976572
320875.91608,5638234.844635
320875.895165,5638234.638845
320875.854479,5638234.420066
320875.803219,5638234.16835
320875.744058,5638233.941526
320875.690828,5638233.790993
320875.637495,5638233.66783
320875.577564,5638233.539127
320875.510511,5638233.400693
320875.433995,5638233.255987
320875.338799,5638233.083564
320875.195566,5638232.830984
320875.027762,5638232.574839
320874.875625,5638232.395757
320874.722532,5638232.242706
320874.553204,5638232.090305
320873.648212,5638231.379441
320873.424282,5638231.216287
320873.19113,5638231.061271
320873.002889,5638230.947779
320872.826743,5638230.849849
320872.616792,5638230.747145
320872.301307,5638230.620891
320871.98638,5638230.50916
320871.786191,5638230.441024
320871.620057,5638230.387123
320871.416515,5638230.324743
320871.090279,5638230.228788
320870.752844,5638230.143562
320864.796637,5638228.660764
320864.713918,5638228.645065
320862.831101,5638228.410202
320860.776428,5638228.168656
320857.664852,5638227.812179
320856.014938,5638227.627912
320849.946137,5638226.965297
320747.455455,5638215.993859
320745.994423,5638215.840211
320745.774085,5638215.817151
320744.651288,5638215.701047
320740.729335,5638215.335503
320740.462099,5638215.320269
320730.473751,5638214.798974
320726.983493,5638218.606825
320726.786095,5638218.840706
320726.666711,5638219.003377
320726.571342,5638219.145097
320726.462036,5638219.315688
320726.304625,5638219.576443
320726.151623,5638219.845856
320726.044339,5638220.045358
320725.9535,5638220.220644
320725.8653,5638220.393744
320725.779569,5638220.562175
320725.696268,5638220.728497
320725.60179,5638220.922292
320725.471724,5638221.193634
320725.350645,5638221.468966
320725.278092,5638221.663057
320725.220652,5638221.83205
320725.158768,5638222.032146
320725.082869,5638222.316552
320724.847289,5638223.211666
320724.796324,5638223.423602
320723.928201,5638227.194945
320723.249696,5638230.197604
320723.184788,5638230.485739
320722.844315,5638232.185714
320722.762046,5638232.597437
320722.062563,5638236.130842
320722.004539,5638236.425982
320721.928987,5638236.844952
320721.857435,5638237.265895
320721.428488,5638239.80376
320718.022112,5638261.340668
320717.997996,5638261.498034
320717.738546,5638265.885239
320717.750274,5638266.050734
320717.77415,5638266.236496
320717.803387,5638266.315324
320719.386825,5638269.646581
320719.469474,5638269.777046
320720.636712,5638270.942629
320720.892404,5638271.134456
320721.166073,5638271.313947
320721.362088,5638271.438943
320721.536112,5638271.544785
320721.741696,5638271.665116
320722.027525,5638271.825397
320722.351857,5638271.996541
320722.695458,5638272.162905
320723.226356,5638272.409119
320723.409816,5638272.493307
320723.895367,5638272.709665
320724.175944,5638272.805518
320724.397073,5638272.836305
320727.737559,5638273.276244
320730.036853,5638273.56792
320767.363411,5638277.49278
320774.809825,5638278.274725
320776.435637,5638278.441246
320805.896359,5638281.339178
320824.587401,5638283.087539
320850.407192,5638285.441864
320854.440974,5638285.805223
320854.685776,5638285.821322
320854.894342,5638285.832662
320855.134703,5638285.836951
320855.476562,5638285.835487
320855.815428,5638285.832023
320856.050682,5638285.824157
320856.252351,5638285.809715
320856.483149,5638285.790441
320856.804068,5638285.754205
320857.567055,5638285.664303
320857.80431,5638285.633561
320858.140976,5638285.572934
320858.468835,5638285.499329
320858.681794,5638285.440625
320860.40848,5638284.894424
320860.741114,5638284.718614
320861.446601,5638284.321847
320861.652479,5638284.202202
320861.967782,5638283.963935
320862.280771,5638283.698183
320862.484855,5638283.517616
320863.955228,5638282.211937
320864.177136,5638281.928488
320864.392076,5638281.60321
320865.636206,5638279.697291
320865.785563,5638279.458787
320865.981043,5638279.126334
320866.161866,5638278.796493
320866.278886,5638278.563326
320866.374441,5638278.36212
320866.620569,5638277.834538
320866.752232,5638277.533156
320866.837265,5638277.309991
320866.906999,5638277.111747
320866.987828,5638276.875715
320867.106942,5638276.522439
320867.221507,5638276.162684
320868.505047,5638271.851485
320868.575246,5638271.603258
320868.815132,5638270.705586
320868.920391,5638270.278803
320873.176653,5638252.767459
320873.852774,5638249.905704
