"utm_x","utm_y","var1.pred","var1.var"
320686.357524,5638340.842322,NaN,NaN
320687.357524,5638340.842322,NaN,NaN
320688.357524,5638340.842322,NaN,NaN
320689.357524,5638340.842322,NaN,NaN
320690.357524,5638340.842322,NaN,NaN
320691.357524,5638340.842322,NaN,NaN
320692.357524,5638340.842322,NaN,NaN
320693.357524,5638340.842322,NaN,NaN
320694.357524,5638340.842322,NaN,NaN
320695.357524,5638340.842322,NaN,NaN
320696.357524,5638340.842322,NaN,NaN
320697.357524,5638340.842322,NaN,NaN
320698.357524,5638340.842322,NaN,NaN
320699.357524,5638340.842322,NaN,NaN
320700.357524,5638340.842322,NaN,NaN
320701.357524,5638340.842322,NaN,NaN
320702.357524,5638340.842322,NaN,NaN
320703.357524,5638340.842322,NaN,NaN
320704.357524,5638340.842322,NaN,NaN
320705.357524,5638340.842322,NaN,NaN
320706.357524,5638340.842322,NaN,NaN
320707.357524,5638340.842322,NaN,NaN
320708.357524,5638340.842322,NaN,NaN
320709.357524,5638340.842322,NaN,NaN
320710.357524,5638340.842322,NaN,NaN
320711.357524,5638340.842322,NaN,NaN
320712.357524,5638340.842322,NaN,NaN
320713.357524,5638340.842322,NaN,NaN
320714.357524,5638340.842322,NaN,NaN
320715.357524,5638340.842322,NaN,NaN
320716.357524,5638340.842322,NaN,NaN
320717.357524,5638340.842322,NaN,NaN
320718.357524,5638340.842322,NaN,NaN
320719.357524,5638340.842322,NaN,NaN
320720.357524,5638340.842322,NaN,NaN
320721.357524,5638340.842322,NaN,NaN
320722.357524,5638340.842322,NaN,NaN
320723.357524,5638340.842322,NaN,NaN
320724.357524,5638340.842322,NaN,NaN
320725.357524,5638340.842322,NaN,NaN
320726.357524,5638340.842322,NaN,NaN
320727.357524,5638340.842322,NaN,NaN
320728.357524,5638340.842322,NaN,NaN
320729.357524,5638340.842322,NaN,NaN
320730.357524,5638340.842322,NaN,NaN
320731.357524,5638340.842322,NaN,NaN
320732.357524,5638340.842322,NaN,NaN
320733.357524,5638340.842322,NaN,NaN
320734.357524,5638340.842322,NaN,NaN
320735.357524,5638340.842322,NaN,NaN
320736.357524,5638340.842322,NaN,NaN
320737.357524,5638340.842322,NaN,NaN
320738.357524,5638340.842322,NaN,NaN
320739.357524,5638340.842322,NaN,NaN
320740.357524,5638340.842322,NaN,NaN
320741.357524,5638340.842322,NaN,NaN
320742.357524,5638340.842322,NaN,NaN
320743.357524,5638340.842322,NaN,NaN
320744.357524,5638340.842322,NaN,NaN
320745.357524,5638340.842322,NaN,NaN
320746.357524,5638340.842322,NaN,NaN
320747.357524,5638340.842322,NaN,NaN
320748.357524,5638340.842322,NaN,NaN
320749.357524,5638340.842322,NaN,NaN
320750.357524,5638340.842322,NaN,NaN
320751.357524,5638340.842322,NaN,NaN
320752.357524,5638340.842322,NaN,NaN
320753.357524,5638340.842322,NaN,NaN
320754.357524,5638340.842322,NaN,NaN
320755.357524,5638340.842322,NaN,NaN
320756.357524,5638340.842322,NaN,NaN
320757.357524,5638340.842322,NaN,NaN
320758.357524,5638340.842322,NaN,NaN
320759.357524,5638340.842322,NaN,NaN
320760.357524,5638340.842322,NaN,NaN
320761.357524,5638340.842322,NaN,NaN
320762.357524,5638340.842322,NaN,NaN
320763.357524,5638340.842322,NaN,NaN
320764.357524,5638340.842322,NaN,NaN
320765.357524,5638340.842322,NaN,NaN
320766.357524,5638340.842322,NaN,NaN
320767.357524,5638340.842322,NaN,NaN
320768.357524,5638340.842322,NaN,NaN
320769.357524,5638340.842322,NaN,NaN
320770.357524,5638340.842322,NaN,NaN
320771.357524,5638340.842322,NaN,NaN
320772.357524,5638340.842322,NaN,NaN
320773.357524,5638340.842322,NaN,NaN
320774.357524,5638340.842322,NaN,NaN
320775.357524,5638340.842322,NaN,NaN
320776.357524,5638340.842322,NaN,NaN
320777.357524,5638340.842322,NaN,NaN
320778.357524,5638340.842322,NaN,NaN
320779.357524,5638340.842322,NaN,NaN
320780.357524,5638340.842322,NaN,NaN
320781.357524,5638340.842322,NaN,NaN
320782.357524,5638340.842322,NaN,NaN
320783.357524,5638340.842322,NaN,NaN
320784.357524,5638340.842322,NaN,NaN
320785.357524,5638340.842322,NaN,NaN
320786.357524,5638340.842322,NaN,NaN
320787.357524,5638340.842322,NaN,NaN
320788.357524,5638340.842322,NaN,NaN
320789.357524,5638340.842322,NaN,NaN
320790.357524,5638340.842322,NaN,NaN
320791.357524,5638340.842322,NaN,NaN
320792.357524,5638340.842322,NaN,NaN
320793.357524,5638340.842322,NaN,NaN
320794.357524,5638340.842322,NaN,NaN
320795.357524,5638340.842322,NaN,NaN
320796.357524,5638340.842322,NaN,NaN
320797.357524,5638340.842322,NaN,NaN
320798.357524,5638340.842322,NaN,NaN
320799.357524,5638340.842322,NaN,NaN
320800.357524,5638340.842322,NaN,NaN
320801.357524,5638340.842322,NaN,NaN
320802.357524,5638340.842322,NaN,NaN
320803.357524,5638340.842322,NaN,NaN
320804.357524,5638340.842322,NaN,NaN
320805.357524,5638340.842322,NaN,NaN
320806.357524,5638340.842322,NaN,NaN
320807.357524,5638340.842322,NaN,NaN
320808.357524,5638340.842322,NaN,NaN
320809.357524,5638340.842322,NaN,NaN
320810.357524,5638340.842322,NaN,NaN
320811.357524,5638340.842322,NaN,NaN
320812.357524,5638340.842322,NaN,NaN
320813.357524,5638340.842322,NaN,NaN
320814.357524,5638340.842322,NaN,NaN
320815.357524,5638340.842322,NaN,NaN
320816.357524,5638340.842322,NaN,NaN
320817.357524,5638340.842322,NaN,NaN
320818.357524,5638340.842322,NaN,NaN
320819.357524,5638340.842322,NaN,NaN
320820.357524,5638340.842322,NaN,NaN
320821.357524,5638340.842322,NaN,NaN
320822.357524,5638340.842322,NaN,NaN
320823.357524,5638340.842322,NaN,NaN
320824.357524,5638340.842322,NaN,NaN
320825.357524,5638340.842322,NaN,NaN
320826.357524,5638340.842322,NaN,NaN
320827.357524,5638340.842322,NaN,NaN
320828.357524,5638340.842322,NaN,NaN
320829.357524,5638340.842322,NaN,NaN
320830.357524,5638340.842322,NaN,NaN
320831.357524,5638340.842322,NaN,NaN
320832.357524,5638340.842322,NaN,NaN
320833.357524,5638340.842322,NaN,NaN
320834.357524,5638340.842322,NaN,NaN
320835.357524,5638340.842322,NaN,NaN
320836.357524,5638340.842322,NaN,NaN
320837.357524,5638340.842322,NaN,NaN
320838.357524,5638340.842322,NaN,NaN
320839.357524,5638340.842322,NaN,NaN
320840.357524,5638340.842322,NaN,NaN
320841.357524,5638340.842322,NaN,NaN
320842.357524,5638340.842322,NaN,NaN
320843.357524,5638340.842322,NaN,NaN
320844.357524,5638340.842322,NaN,NaN
320845.357524,5638340.842322,NaN,NaN
320846.357524,5638340.842322,NaN,NaN
320686.357524,5638341.842322,NaN,NaN
320687.357524,5638341.842322,NaN,NaN
320688.357524,5638341.842322,NaN,NaN
320689.357524,5638341.842322,NaN,NaN
320690.357524,5638341.842322,NaN,NaN
320691.357524,5638341.842322,NaN,NaN
320692.357524,5638341.842322,NaN,NaN
320693.357524,5638341.842322,NaN,NaN
320694.357524,5638341.842322,NaN,NaN
320695.357524,5638341.842322,NaN,NaN
320696.357524,5638341.842322,NaN,NaN
320697.357524,5638341.842322,NaN,NaN
320698.357524,5638341.842322,NaN,NaN
320699.357524,5638341.842322,NaN,NaN
320700.357524,5638341.842322,NaN,NaN
320701.357524,5638341.842322,4.66024706111404,0.0381690350502911
320702.357524,5638341.842322,4.57394946499803,0.0352706404249064
320703.357524,5638341.842322,4.35284459814771,0.0219047795271674
320704.357524,5638341.842322,4.17998360217917,0.0196765670038331
320705.357524,5638341.842322,4.08235150697597,0.0187597308599708
320706.357524,5638341.842322,3.97838634832287,0.0189760325486317
320707.357524,5638341.842322,3.95522676622956,0.0192276915013158
320708.357524,5638341.842322,3.92104302559942,0.0203178013355874
320709.357524,5638341.842322,3.93957910650789,0.0215045448871898
320710.357524,5638341.842322,4.03271960022629,0.0229875501771373
320711.357524,5638341.842322,3.99221793090848,0.024615051825628
320712.357524,5638341.842322,3.85339866834626,0.0261700643663162
320713.357524,5638341.842322,3.70466277105854,0.0277298311702087
320714.357524,5638341.842322,3.71239630930569,0.0291184901913385
320715.357524,5638341.842322,3.63672728169513,0.0297460390794444
320716.357524,5638341.842322,NaN,NaN
320717.357524,5638341.842322,NaN,NaN
320718.357524,5638341.842322,NaN,NaN
320719.357524,5638341.842322,NaN,NaN
320720.357524,5638341.842322,NaN,NaN
320721.357524,5638341.842322,NaN,NaN
320722.357524,5638341.842322,NaN,NaN
320723.357524,5638341.842322,NaN,NaN
320724.357524,5638341.842322,NaN,NaN
320725.357524,5638341.842322,NaN,NaN
320726.357524,5638341.842322,NaN,NaN
320727.357524,5638341.842322,NaN,NaN
